Feature Name,Importance Score,Normalized Importance,Notes
cam4_vehicles_exiting,0.0269519963626645,0.0269519963626645,Additional traffic pattern indicator
cam2_motion_entropy,0.022886773006942654,0.022886773006942654,Vehicle movement patterns - distinguishes flowing vs stopped traffic
cam4_motion_entropy,0.02237515094631391,0.02237515094631391,Vehicle movement patterns - distinguishes flowing vs stopped traffic
cam2_stopped_vehicles,0.01764298672304755,0.01764298672304755,Additional traffic pattern indicator
cam2_avg_motion_magnitude,0.017282953072101825,0.017282953072101825,Vehicle movement patterns - distinguishes flowing vs stopped traffic
cam2_car_count,0.017225167795515625,0.017225167795515625,Additional traffic pattern indicator
cam1_motion_entropy,0.015547458184174674,0.015547458184174674,Vehicle movement patterns - distinguishes flowing vs stopped traffic
cam3_motion_entropy,0.01402845422563338,0.01402845422563338,Vehicle movement patterns - distinguishes flowing vs stopped traffic
cam2_vehicle_count,0.013816095844053229,0.013816095844053229,Number of vehicles detected - direct traffic volume measure
cam2_occupancy_by_zone_center,0.013687786096539267,0.013687786096539267,Measures road space occupied by vehicles - key congestion indicator
cam1_car_count,0.013630093763894995,0.013630093763894995,Additional traffic pattern indicator
cam2_scene_complexity,0.013381279288072085,0.013381279288072085,Additional traffic pattern indicator
cam2_avg_vehicle_speed,0.01324707865207208,0.01324707865207208,Average speed estimate - lower speeds indicate congestion
cam1_vehicle_count,0.012966317228771783,0.012966317228771783,Number of vehicles detected - direct traffic volume measure
cam1_vehicles_in_lanes_middle,0.012440704292887864,0.012440704292887864,Additional traffic pattern indicator
cam1_vehicles_exiting,0.012036394487108413,0.012036394487108413,Additional traffic pattern indicator
cam4_scene_complexity,0.011654667406519593,0.011654667406519593,Additional traffic pattern indicator
cam2_vehicles_exiting,0.011187459822355505,0.011187459822355505,Additional traffic pattern indicator
cam2_vehicles_in_lanes_left,0.01118688036299006,0.01118688036299006,Additional traffic pattern indicator
cam1_occupancy_by_zone_middle,0.01110167705611091,0.01110167705611091,Measures road space occupied by vehicles - key congestion indicator
cam1_density_score,0.010976378532123833,0.010976378532123833,Additional traffic pattern indicator
cam2_scene_embedding_mean,0.010962174157677551,0.010962174157677551,Additional traffic pattern indicator
cam2_truck_count,0.010746699288597995,0.010746699288597995,Additional traffic pattern indicator
cam4_flow_rate,0.010390853367221812,0.010390853367221812,Vehicles per time unit - throughput measure
cam2_scene_embedding_std,0.010376048055676726,0.010376048055676726,Additional traffic pattern indicator
cam2_density_score,0.010358038043452374,0.010358038043452374,Additional traffic pattern indicator
cam2_vehicles_entering,0.010346906987103839,0.010346906987103839,Additional traffic pattern indicator
cam2_occupancy_by_zone_middle,0.010311570815306863,0.010311570815306863,Measures road space occupied by vehicles - key congestion indicator
cam2_flow_rate,0.00998753144840759,0.00998753144840759,Vehicles per time unit - throughput measure
cam1_stopped_vehicles,0.009955517604134908,0.009955517604134908,Additional traffic pattern indicator
cam3_stopped_vehicles,0.009710272620710489,0.009710272620710489,Additional traffic pattern indicator
cam2_queue_length,0.009655050002431666,0.009655050002431666,Estimated queue length - critical for delay classification
cam2_bus_count,0.009539232490746716,0.009539232490746716,Additional traffic pattern indicator
cam4_bus_count,0.009228045174627357,0.009228045174627357,Additional traffic pattern indicator
cam3_occupancy_by_zone_top,0.009012413132652887,0.009012413132652887,Measures road space occupied by vehicles - key congestion indicator
cam2_occupancy_by_zone_left,0.008932751385009475,0.008932751385009475,Measures road space occupied by vehicles - key congestion indicator
cam4_avg_motion_magnitude,0.008895444660552117,0.008895444660552117,Vehicle movement patterns - distinguishes flowing vs stopped traffic
cam4_stopped_vehicles,0.008872616624613522,0.008872616624613522,Additional traffic pattern indicator
cam2_vehicles_in_lanes_middle,0.008852390957203332,0.008852390957203332,Additional traffic pattern indicator
cam3_speed_variance,0.008791439887070516,0.008791439887070516,Average speed estimate - lower speeds indicate congestion
cam3_vehicles_exiting,0.008514797658411682,0.008514797658411682,Additional traffic pattern indicator
cam2_directional_flow_up,0.008420765408031813,0.008420765408031813,Additional traffic pattern indicator
cam3_occupancy_by_zone_left,0.008354388621287035,0.008354388621287035,Measures road space occupied by vehicles - key congestion indicator
cam3_flow_rate,0.008332576196819052,0.008332576196819052,Vehicles per time unit - throughput measure
cam3_vehicles_in_lanes_middle,0.008198976544727003,0.008198976544727003,Additional traffic pattern indicator
cam3_car_count,0.008147603691920864,0.008147603691920864,Additional traffic pattern indicator
cam3_directional_flow_left,0.008128181015584409,0.008128181015584409,Additional traffic pattern indicator
cam2_directional_flow_down,0.008124500084877806,0.008124500084877806,Additional traffic pattern indicator
cam4_truck_count,0.008070095823878026,0.008070095823878026,Additional traffic pattern indicator
cam4_vehicles_entering,0.008026109444980268,0.008026109444980268,Additional traffic pattern indicator
cam2_occupancy_by_zone_top,0.00795215182683382,0.00795215182683382,Measures road space occupied by vehicles - key congestion indicator
cam3_bus_count,0.007894613111433064,0.007894613111433064,Additional traffic pattern indicator
cam2_speed_variance,0.007825836018201436,0.007825836018201436,Average speed estimate - lower speeds indicate congestion
cam3_scene_embedding_std,0.007797492767475188,0.007797492767475188,Additional traffic pattern indicator
cam2_motorcycle_count,0.0077726963491349865,0.0077726963491349865,Additional traffic pattern indicator
cam3_scene_embedding_mean,0.00775983907888329,0.00775983907888329,Additional traffic pattern indicator
cam3_density_score,0.007702228977689938,0.007702228977689938,Additional traffic pattern indicator
cam1_avg_motion_magnitude,0.007616437414945549,0.007616437414945549,Vehicle movement patterns - distinguishes flowing vs stopped traffic
cam2_directional_flow_right,0.007580342122927733,0.007580342122927733,Additional traffic pattern indicator
cam3_avg_vehicle_speed,0.007560921150942661,0.007560921150942661,Average speed estimate - lower speeds indicate congestion
cam2_directional_flow_left,0.007512534499392184,0.007512534499392184,Additional traffic pattern indicator
cam1_scene_embedding_std,0.0074707870920008345,0.0074707870920008345,Additional traffic pattern indicator
cam1_truck_count,0.00740653929418626,0.00740653929418626,Additional traffic pattern indicator
cam1_occupancy_by_zone_center,0.007388030080327908,0.007388030080327908,Measures road space occupied by vehicles - key congestion indicator
cam1_scene_complexity,0.007218608953632525,0.007218608953632525,Additional traffic pattern indicator
cam4_car_count,0.007061439751361518,0.007061439751361518,Additional traffic pattern indicator
cam1_avg_vehicle_speed,0.007056692755767186,0.007056692755767186,Average speed estimate - lower speeds indicate congestion
cam4_scene_embedding_mean,0.007039392026528232,0.007039392026528232,Additional traffic pattern indicator
cam4_directional_flow_right,0.00690341074681644,0.00690341074681644,Additional traffic pattern indicator
cam1_scene_embedding_mean,0.006840786154405917,0.006840786154405917,Additional traffic pattern indicator
cam3_vehicle_count,0.0068362945649692265,0.0068362945649692265,Number of vehicles detected - direct traffic volume measure
cam1_speed_variance,0.006779812530699783,0.006779812530699783,Average speed estimate - lower speeds indicate congestion
cam1_directional_flow_right,0.0067350297260012635,0.0067350297260012635,Additional traffic pattern indicator
cam4_directional_flow_up,0.006721977480489182,0.006721977480489182,Additional traffic pattern indicator
cam4_directional_flow_left,0.006441748756328517,0.006441748756328517,Additional traffic pattern indicator
cam1_flow_rate,0.006398739585612871,0.006398739585612871,Vehicles per time unit - throughput measure
cam4_scene_embedding_std,0.006252511060482226,0.006252511060482226,Additional traffic pattern indicator
cam3_vehicles_entering,0.006250477227378038,0.006250477227378038,Additional traffic pattern indicator
cam3_truck_count,0.0061657375523038686,0.0061657375523038686,Additional traffic pattern indicator
cam3_scene_complexity,0.006016754863675409,0.006016754863675409,Additional traffic pattern indicator
cam4_occupancy_by_zone_center,0.005962935341419741,0.005962935341419741,Measures road space occupied by vehicles - key congestion indicator
cam3_queue_length,0.005944655542543896,0.005944655542543896,Estimated queue length - critical for delay classification
cam3_vehicles_in_lanes_top,0.005936501917122108,0.005936501917122108,Additional traffic pattern indicator
cam3_directional_flow_down,0.00593223512507683,0.00593223512507683,Additional traffic pattern indicator
cam1_directional_flow_up,0.005929174929262922,0.005929174929262922,Additional traffic pattern indicator
cam2_vehicles_in_lanes_center,0.005847799809491694,0.005847799809491694,Additional traffic pattern indicator
cam4_directional_flow_down,0.005840707174872281,0.005840707174872281,Additional traffic pattern indicator
cam4_occupancy_by_zone_left,0.005840587223807981,0.005840587223807981,Measures road space occupied by vehicles - key congestion indicator
cam4_avg_vehicle_speed,0.005801554526299886,0.005801554526299886,Average speed estimate - lower speeds indicate congestion
cam4_speed_variance,0.005777829840975662,0.005777829840975662,Average speed estimate - lower speeds indicate congestion
cam2_vehicles_in_lanes_top,0.005768186725059966,0.005768186725059966,Additional traffic pattern indicator
cam3_directional_flow_right,0.0056380927576747016,0.0056380927576747016,Additional traffic pattern indicator
cam3_directional_flow_up,0.0055586523104307305,0.0055586523104307305,Additional traffic pattern indicator
cam3_vehicles_in_lanes_left,0.005540936403203649,0.005540936403203649,Additional traffic pattern indicator
cam1_queue_length,0.0054547949143891605,0.0054547949143891605,Estimated queue length - critical for delay classification
cam3_avg_motion_magnitude,0.005419812170650835,0.005419812170650835,Vehicle movement patterns - distinguishes flowing vs stopped traffic
cam1_directional_flow_left,0.005363573758377542,0.005363573758377542,Additional traffic pattern indicator
cam3_occupancy_by_zone_center,0.005350155480991426,0.005350155480991426,Measures road space occupied by vehicles - key congestion indicator
cam1_vehicles_entering,0.005333961806430493,0.005333961806430493,Additional traffic pattern indicator
cam1_bus_count,0.005222502363053007,0.005222502363053007,Additional traffic pattern indicator
cam3_occupancy_by_zone_middle,0.005187807312069974,0.005187807312069974,Measures road space occupied by vehicles - key congestion indicator
cam4_vehicles_in_lanes_middle,0.005095462489874325,0.005095462489874325,Additional traffic pattern indicator
cam1_vehicles_in_lanes_center,0.004958815040117292,0.004958815040117292,Additional traffic pattern indicator
cam4_motorcycle_count,0.004898371027343835,0.004898371027343835,Additional traffic pattern indicator
